ACMC,ACMC_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSC,ACSC_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWDR,AWDR_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DATE,DATN,DATN_ATTRIBUTES,DATX,DATX_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,DWPR,DWPR_ATTRIBUTES,ELEVATION,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGB,FRGB_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,FRTH,FRTH_ATTRIBUTES,GAHT,GAHT_ATTRIBUTES,LATITUDE,LONGITUDE,MDEV,MDEV_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,MDTN,MDTN_ATTRIBUTES,MDTX,MDTX_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,NAME,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,SN01,SN01_ATTRIBUTES,SN02,SN02_ATTRIBUTES,SN03,SN03_ATTRIBUTES,SN11,SN11_ATTRIBUTES,SN12,SN12_ATTRIBUTES,SN13,SN13_ATTRIBUTES,SN14,SN14_ATTRIBUTES,SN21,SN21_ATTRIBUTES,SN22,SN22_ATTRIBUTES,SN23,SN23_ATTRIBUTES,SN31,SN31_ATTRIBUTES,SN32,SN32_ATTRIBUTES,SN33,SN33_ATTRIBUTES,SN34,SN34_ATTRIBUTES,SN35,SN35_ATTRIBUTES,SN36,SN36_ATTRIBUTES,SN51,SN51_ATTRIBUTES,SN52,SN52_ATTRIBUTES,SN53,SN53_ATTRIBUTES,SN54,SN54_ATTRIBUTES,SN55,SN55_ATTRIBUTES,SN56,SN56_ATTRIBUTES,SN57,SN57_ATTRIBUTES,SN61,SN61_ATTRIBUTES,SN72,SN72_ATTRIBUTES,SN81,SN81_ATTRIBUTES,SN82,SN82_ATTRIBUTES,SN83,SN83_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,SX01,SX01_ATTRIBUTES,SX02,SX02_ATTRIBUTES,SX03,SX03_ATTRIBUTES,SX11,SX11_ATTRIBUTES,SX12,SX12_ATTRIBUTES,SX13,SX13_ATTRIBUTES,SX14,SX14_ATTRIBUTES,SX15,SX15_ATTRIBUTES,SX17,SX17_ATTRIBUTES,SX21,SX21_ATTRIBUTES,SX22,SX22_ATTRIBUTES,SX23,SX23_ATTRIBUTES,SX31,SX31_ATTRIBUTES,SX32,SX32_ATTRIBUTES,SX33,SX33_ATTRIBUTES,SX34,SX34_ATTRIBUTES,SX35,SX35_ATTRIBUTES,SX36,SX36_ATTRIBUTES,SX51,SX51_ATTRIBUTES,SX52,SX52_ATTRIBUTES,SX53,SX53_ATTRIBUTES,SX54,SX54_ATTRIBUTES,SX55,SX55_ATTRIBUTES,SX56,SX56_ATTRIBUTES,SX57,SX57_ATTRIBUTES,SX61,SX61_ATTRIBUTES,SX72,SX72_ATTRIBUTES,SX81,SX81_ATTRIBUTES,SX82,SX82_ATTRIBUTES,SX83,SX83_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TAXN,TAXN_ATTRIBUTES,THIC,THIC_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFI,WDFI_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFI,WSFI_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT12,WT12_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV07,WV07_ATTRIBUTES,WV18,WV18_ATTRIBUTES,WV20,WV20_ATTRIBUTES,alt,alt_ATTRIBUTES,station_info,station_info_ATTRIBUTES,station_name,station_name_ATTRIBUTES,time,time_ATTRIBUTES
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-01,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.50,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,",,0",59,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-02,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,"T,,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,",,0",60,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",    1,",,X",,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-03,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.47,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,",,0",47,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-04,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,",,0",41,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-05,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,",,0",42,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-06,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.02,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,",,0",55,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",    1,",,X",,,,,,,,,,,    1,",,X",,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-07,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.01,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,",,0",57,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",    1,",,X",,,,,,,,,,,    1,",,X",,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-08,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.39,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,",,0",61,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-09,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.31,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,",,0",60,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-10,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,",,0",51,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-11,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,",,0",44,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-12,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,",,0",46,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-13,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,",,0",57,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-14,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,"T,,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,",,0",67,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-15,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.31,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,",,0",68,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-16,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.04,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,",,0",53,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-17,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,",,0",48,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-18,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.22,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,",,0",47,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-19,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,"T,,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,",,0",52,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-20,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,",,0",50,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-21,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.54,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,",,0",48,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-22,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,",,0",45,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-23,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,",,0",43,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1990-02-24,,,,,,,,,13.2,,,,,,,,,,,,,29.64586,-95.28212,,,,,,,,,,,,,,,,,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,,0.00,",,0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,",,0",0.0,",,0",USW00012918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,",,0",46,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
